datestr,coin_id,symbol,count,net_sentiment,positive_sentiment,positive_sentiment_weighted,neutral_sentiment,negative_sentiment,negative_sentiment_weighted,net_sentiment_weighted,total_tweets_weight
2020-03-19,basic-attention-token,BAT,4,1,1,6.701840759771909,3,0,0.0,6.701840759771909,24.306234162369478
2020-03-21,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-03-23,basic-attention-token,BAT,40,3,4,21.805105285651315,35,1,5.451276321412829,16.353828964238488,218.05105285651305
2020-03-24,basic-attention-token,BAT,11,7,7,39.40949868824888,4,0,0.0,39.40949868824888,61.21460397390019
2020-03-25,basic-attention-token,BAT,15,1,1,5.451276321412829,14,0,0.0,5.451276321412829,81.76914482119244
2020-03-26,basic-attention-token,BAT,23,2,2,10.902552642825658,21,0,0.0,10.902552642825658,126.62991983085419
2020-03-27,basic-attention-token,BAT,7,1,1,5.451276321412829,6,0,0.0,5.451276321412829,38.158934249889796
2020-03-28,basic-attention-token,BAT,2,-1,0,0.0,1,1,5.451276321412829,-5.451276321412829,10.902552642825658
2020-03-29,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-03-30,basic-attention-token,BAT,11,3,3,16.353828964238488,8,0,0.0,16.353828964238488,59.964039535541104
2020-03-31,basic-attention-token,BAT,8,1,1,5.451276321412829,7,0,0.0,5.451276321412829,43.61021057130262
2020-04-01,basic-attention-token,BAT,9,2,2,10.902552642825658,7,0,0.0,10.902552642825658,49.06148689271545
2020-04-02,basic-attention-token,BAT,3,1,1,5.451276321412829,2,0,0.0,5.451276321412829,17.604393402597566
2020-04-03,basic-attention-token,BAT,10,3,3,16.353828964238488,7,0,0.0,16.353828964238488,54.51276321412828
2020-04-04,basic-attention-token,BAT,2,2,2,10.902552642825658,0,0,0.0,10.902552642825658,10.902552642825658
2020-04-05,basic-attention-token,BAT,1,-1,0,0.0,0,1,5.451276321412829,-5.451276321412829,5.451276321412829
2020-04-06,basic-attention-token,BAT,19,1,1,5.451276321412829,18,0,0.0,5.451276321412829,103.57425010684378
2020-04-07,basic-attention-token,BAT,6,2,2,10.902552642825658,4,0,0.0,10.902552642825658,32.70765792847697
2020-04-08,basic-attention-token,BAT,8,1,1,5.451276321412829,7,0,0.0,5.451276321412829,43.61021057130262
2020-04-09,basic-attention-token,BAT,7,1,1,5.451276321412829,6,0,0.0,5.451276321412829,38.158934249889796
2020-04-10,basic-attention-token,BAT,9,1,1,5.451276321412829,8,0,0.0,5.451276321412829,49.06148689271545
2020-04-11,basic-attention-token,BAT,3,1,1,6.701840759771909,2,0,0.0,6.701840759771909,18.854957840956647
2020-04-12,basic-attention-token,BAT,2,2,2,10.902552642825658,0,0,0.0,10.902552642825658,10.902552642825658
2020-04-13,basic-attention-token,BAT,2,0,0,0.0,2,0,0.0,0.0,10.902552642825658
2020-04-14,basic-attention-token,BAT,5,2,2,10.902552642825658,3,0,0.0,10.902552642825658,27.256381607064142
2020-04-15,basic-attention-token,BAT,6,1,1,5.451276321412829,5,0,0.0,5.451276321412829,32.70765792847697
2020-04-16,basic-attention-token,BAT,6,0,0,0.0,6,0,0.0,0.0,32.70765792847697
2020-04-17,basic-attention-token,BAT,7,1,1,5.451276321412829,6,0,0.0,5.451276321412829,38.158934249889796
2020-04-20,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-04-21,basic-attention-token,BAT,3,0,0,0.0,3,0,0.0,0.0,17.604393402597566
2020-04-22,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,6.701840759771909
2020-04-23,basic-attention-token,BAT,4,0,0,0.0,4,0,0.0,0.0,21.805105285651315
2020-04-24,basic-attention-token,BAT,10,0,0,0.0,10,0,0.0,0.0,54.51276321412828
2020-04-26,basic-attention-token,BAT,2,0,0,0.0,2,0,0.0,0.0,10.902552642825658
2020-04-27,basic-attention-token,BAT,2,-1,0,0.0,1,1,5.451276321412829,-5.451276321412829,10.902552642825658
2020-04-30,basic-attention-token,BAT,3,1,1,6.701840759771909,2,0,0.0,6.701840759771909,18.854957840956647
2020-05-01,basic-attention-token,BAT,3,0,0,0.0,3,0,0.0,0.0,16.353828964238488
2020-05-03,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-05-04,basic-attention-token,BAT,9,1,1,5.451276321412829,8,0,0.0,5.451276321412829,51.56261576943361
2020-05-05,basic-attention-token,BAT,3,0,0,0.0,3,0,0.0,0.0,17.604393402597566
2020-05-06,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-05-07,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-05-08,basic-attention-token,BAT,8,2,2,10.902552642825658,6,0,0.0,10.902552642825658,43.61021057130262
2020-05-09,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-05-11,basic-attention-token,BAT,2,2,2,13.403681519543818,0,0,0.0,13.403681519543818,13.403681519543818
2020-05-12,basic-attention-token,BAT,4,1,1,5.451276321412829,3,0,0.0,5.451276321412829,21.805105285651315
2020-05-13,basic-attention-token,BAT,2,1,1,5.451276321412829,1,0,0.0,5.451276321412829,10.902552642825658
2020-05-15,basic-attention-token,BAT,7,1,2,10.902552642825658,4,1,5.451276321412829,5.451276321412829,38.158934249889796
2020-05-18,basic-attention-token,BAT,3,1,1,5.451276321412829,2,0,0.0,5.451276321412829,16.353828964238488
2020-05-19,basic-attention-token,BAT,36,1,2,10.902552642825658,33,1,5.451276321412829,5.451276321412829,196.24594757086177
2020-05-20,basic-attention-token,BAT,16,2,2,12.153117081184739,14,0,0.0,12.153117081184739,88.47098558096435
2020-05-21,basic-attention-token,BAT,14,0,0,0.0,14,0,0.0,0.0,78.81899737649776
2020-05-22,basic-attention-token,BAT,5,1,1,5.451276321412829,4,0,0.0,5.451276321412829,27.256381607064142
2020-05-23,basic-attention-token,BAT,1,1,1,6.701840759771909,0,0,0.0,6.701840759771909,6.701840759771909
2020-05-25,basic-attention-token,BAT,2,1,1,5.451276321412829,1,0,0.0,5.451276321412829,10.902552642825658
2020-05-26,basic-attention-token,BAT,7,2,2,10.902552642825658,5,0,0.0,10.902552642825658,38.158934249889796
2020-05-27,basic-attention-token,BAT,17,1,1,5.451276321412829,16,0,0.0,5.451276321412829,92.67169746401811
2020-05-28,basic-attention-token,BAT,31,3,3,16.353828964238488,28,0,0.0,16.353828964238488,170.24013040215675
2020-05-29,basic-attention-token,BAT,25,2,2,10.902552642825658,23,0,0.0,10.902552642825658,136.28190803532075
2020-05-31,basic-attention-token,BAT,4,2,2,10.902552642825658,2,0,0.0,10.902552642825658,21.805105285651315
2020-06-01,basic-attention-token,BAT,12,3,3,17.604393402597566,9,0,0.0,17.604393402597566,66.66588029531302
2020-06-03,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-06-04,basic-attention-token,BAT,16,1,1,5.451276321412829,15,0,0.0,5.451276321412829,87.22042114260528
2020-06-05,basic-attention-token,BAT,5,2,2,10.902552642825658,3,0,0.0,10.902552642825658,28.506946045423227
2020-06-07,basic-attention-token,BAT,2,1,1,5.451276321412829,1,0,0.0,5.451276321412829,10.902552642825658
2020-06-08,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-06-09,basic-attention-token,BAT,2,0,1,5.451276321412829,0,1,5.451276321412829,0.0,10.902552642825658
2020-06-10,basic-attention-token,BAT,4,2,2,10.902552642825658,2,0,0.0,10.902552642825658,21.805105285651315
2020-06-11,basic-attention-token,BAT,3,1,1,5.451276321412829,2,0,0.0,5.451276321412829,16.353828964238488
2020-06-12,basic-attention-token,BAT,6,4,4,21.805105285651315,2,0,0.0,21.805105285651315,32.70765792847697
2020-06-15,basic-attention-token,BAT,3,0,0,0.0,3,0,0.0,0.0,16.353828964238488
2020-06-16,basic-attention-token,BAT,15,2,2,10.902552642825658,13,0,0.0,10.902552642825658,81.76914482119244
2020-06-17,basic-attention-token,BAT,12,0,0,0.0,12,0,0.0,0.0,65.41531585695394
2020-06-18,basic-attention-token,BAT,11,1,1,5.451276321412829,10,0,0.0,5.451276321412829,59.964039535541104
2020-06-19,basic-attention-token,BAT,7,3,3,17.604393402597566,4,0,0.0,17.604393402597566,39.40949868824888
2020-06-20,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-06-23,basic-attention-token,BAT,2,1,1,5.451276321412829,1,0,0.0,5.451276321412829,10.902552642825658
2020-06-24,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-06-26,basic-attention-token,BAT,7,1,1,5.451276321412829,6,0,0.0,5.451276321412829,38.158934249889796
2020-06-28,basic-attention-token,BAT,1,-1,0,0.0,0,1,5.451276321412829,-5.451276321412829,5.451276321412829
2020-06-29,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,5.451276321412829
2020-07-02,basic-attention-token,BAT,1,0,0,0.0,1,0,0.0,0.0,6.701840759771909
2020-07-03,basic-attention-token,BAT,5,3,3,16.353828964238488,2,0,0.0,16.353828964238488,27.256381607064142
2020-07-06,basic-attention-token,BAT,6,0,0,0.0,6,0,0.0,0.0,32.70765792847697
2020-07-09,basic-attention-token,BAT,4,2,2,12.153117081184739,2,0,0.0,12.153117081184739,23.055669724010393
2020-07-10,basic-attention-token,BAT,10,-2,1,5.451276321412829,6,3,16.353828964238488,-10.902552642825658,54.51276321412828
2020-07-13,basic-attention-token,BAT,12,5,5,29.757510483782305,7,0,0.0,29.757510483782305,69.16700917203119
2020-07-15,basic-attention-token,BAT,9,6,6,33.958222366836054,3,0,0.0,33.958222366836054,52.8131802077927
